corssover_type,selection_type,crossover_propability,mutation_propability,population_size,best_result 
one_point,tournament,0,0,5,325
one_point,tournament,0.1,0,5,362
one_point,tournament,0.2,0,5,346
one_point,tournament,0.3,0,5,417
one_point,tournament,0.4,0,5,433
one_point,tournament,0.5,0,5,435
one_point,tournament,0.6,0,5,464
one_point,tournament,0.7,0,5,386
one_point,tournament,0.8,0,5,497
one_point,tournament,0.9,0,5,408
one_point,tournament,1,0,5,497
one_point,tournament,0,0.1,5,384
one_point,tournament,0.1,0.1,5,459
one_point,tournament,0.2,0.1,5,450
one_point,tournament,0.3,0.1,5,404
one_point,tournament,0.4,0.1,5,449
one_point,tournament,0.5,0.1,5,472
one_point,tournament,0.6,0.1,5,525
one_point,tournament,0.7,0.1,5,463
one_point,tournament,0.8,0.1,5,468
one_point,tournament,0.9,0.1,5,446
one_point,tournament,1,0.1,5,489
one_point,tournament,0,0.2,5,454
one_point,tournament,0.1,0.2,5,416
one_point,tournament,0.2,0.2,5,462
one_point,tournament,0.3,0.2,5,380
one_point,tournament,0.4,0.2,5,437
one_point,tournament,0.5,0.2,5,456
one_point,tournament,0.6,0.2,5,418
one_point,tournament,0.7,0.2,5,513
one_point,tournament,0.8,0.2,5,501
one_point,tournament,0.9,0.2,5,496
one_point,tournament,1,0.2,5,527
one_point,tournament,0,0.3,5,303
one_point,tournament,0.1,0.3,5,324
one_point,tournament,0.2,0.3,5,421
one_point,tournament,0.3,0.3,5,464
one_point,tournament,0.4,0.3,5,362
one_point,tournament,0.5,0.3,5,414
one_point,tournament,0.6,0.3,5,463
one_point,tournament,0.7,0.3,5,439
one_point,tournament,0.8,0.3,5,481
one_point,tournament,0.9,0.3,5,431
one_point,tournament,1,0.3,5,517
one_point,tournament,0,0.4,5,407
one_point,tournament,0.1,0.4,5,383
one_point,tournament,0.2,0.4,5,437
one_point,tournament,0.3,0.4,5,392
one_point,tournament,0.4,0.4,5,459
one_point,tournament,0.5,0.4,5,481
one_point,tournament,0.6,0.4,5,411
one_point,tournament,0.7,0.4,5,480
one_point,tournament,0.8,0.4,5,427
one_point,tournament,0.9,0.4,5,486
one_point,tournament,1,0.4,5,472
one_point,tournament,0,0.5,5,311
one_point,tournament,0.1,0.5,5,432
one_point,tournament,0.2,0.5,5,434
one_point,tournament,0.3,0.5,5,364
one_point,tournament,0.4,0.5,5,470
one_point,tournament,0.5,0.5,5,483
one_point,tournament,0.6,0.5,5,401
one_point,tournament,0.7,0.5,5,440
one_point,tournament,0.8,0.5,5,498
one_point,tournament,0.9,0.5,5,433
one_point,tournament,1,0.5,5,490
one_point,tournament,0,0.6,5,347
one_point,tournament,0.1,0.6,5,361
one_point,tournament,0.2,0.6,5,369
one_point,tournament,0.3,0.6,5,403
one_point,tournament,0.4,0.6,5,548
one_point,tournament,0.5,0.6,5,487
one_point,tournament,0.6,0.6,5,494
one_point,tournament,0.7,0.6,5,471
one_point,tournament,0.8,0.6,5,458
one_point,tournament,0.9,0.6,5,407
one_point,tournament,1,0.6,5,465
one_point,tournament,0,0.7,5,322
one_point,tournament,0.1,0.7,5,351
one_point,tournament,0.2,0.7,5,482
one_point,tournament,0.3,0.7,5,386
one_point,tournament,0.4,0.7,5,383
one_point,tournament,0.5,0.7,5,434
one_point,tournament,0.6,0.7,5,473
one_point,tournament,0.7,0.7,5,444
one_point,tournament,0.8,0.7,5,532
one_point,tournament,0.9,0.7,5,508
one_point,tournament,1,0.7,5,491
one_point,tournament,0,0.8,5,341
one_point,tournament,0.1,0.8,5,441
one_point,tournament,0.2,0.8,5,435
one_point,tournament,0.3,0.8,5,417
one_point,tournament,0.4,0.8,5,434
one_point,tournament,0.5,0.8,5,374
one_point,tournament,0.6,0.8,5,513
one_point,tournament,0.7,0.8,5,422
one_point,tournament,0.8,0.8,5,509
one_point,tournament,0.9,0.8,5,400
one_point,tournament,1,0.8,5,456
one_point,tournament,0,0.9,5,299
one_point,tournament,0.1,0.9,5,407
one_point,tournament,0.2,0.9,5,445
one_point,tournament,0.3,0.9,5,409
one_point,tournament,0.4,0.9,5,380
one_point,tournament,0.5,0.9,5,492
one_point,tournament,0.6,0.9,5,460
one_point,tournament,0.7,0.9,5,467
one_point,tournament,0.8,0.9,5,488
one_point,tournament,0.9,0.9,5,426
one_point,tournament,1,0.9,5,435
one_point,tournament,0,1,5,341
one_point,tournament,0.1,1,5,399
one_point,tournament,0.2,1,5,357
one_point,tournament,0.3,1,5,396
one_point,tournament,0.4,1,5,526
one_point,tournament,0.5,1,5,386
one_point,tournament,0.6,1,5,437
one_point,tournament,0.7,1,5,494
one_point,tournament,0.8,1,5,507
one_point,tournament,0.9,1,5,515
one_point,tournament,1,1,5,460
one_point,tournament,0,0,10,304
one_point,tournament,0.1,0,10,435
one_point,tournament,0.2,0,10,506
one_point,tournament,0.3,0,10,469
one_point,tournament,0.4,0,10,544
one_point,tournament,0.5,0,10,500
one_point,tournament,0.6,0,10,469
one_point,tournament,0.7,0,10,455
one_point,tournament,0.8,0,10,439
one_point,tournament,0.9,0,10,520
one_point,tournament,1,0,10,461
one_point,tournament,0,0.1,10,371
one_point,tournament,0.1,0.1,10,385
one_point,tournament,0.2,0.1,10,502
one_point,tournament,0.3,0.1,10,365
one_point,tournament,0.4,0.1,10,406
one_point,tournament,0.5,0.1,10,479
one_point,tournament,0.6,0.1,10,538
one_point,tournament,0.7,0.1,10,444
one_point,tournament,0.8,0.1,10,483
one_point,tournament,0.9,0.1,10,503
one_point,tournament,1,0.1,10,370
one_point,tournament,0,0.2,10,379
one_point,tournament,0.1,0.2,10,372
one_point,tournament,0.2,0.2,10,415
one_point,tournament,0.3,0.2,10,474
one_point,tournament,0.4,0.2,10,369
one_point,tournament,0.5,0.2,10,508
one_point,tournament,0.6,0.2,10,454
one_point,tournament,0.7,0.2,10,487
one_point,tournament,0.8,0.2,10,476
one_point,tournament,0.9,0.2,10,475
one_point,tournament,1,0.2,10,447
one_point,tournament,0,0.3,10,436
one_point,tournament,0.1,0.3,10,441
one_point,tournament,0.2,0.3,10,374
one_point,tournament,0.3,0.3,10,455
one_point,tournament,0.4,0.3,10,393
one_point,tournament,0.5,0.3,10,436
one_point,tournament,0.6,0.3,10,490
one_point,tournament,0.7,0.3,10,467
one_point,tournament,0.8,0.3,10,432
one_point,tournament,0.9,0.3,10,466
one_point,tournament,1,0.3,10,489
one_point,tournament,0,0.4,10,338
one_point,tournament,0.1,0.4,10,450
one_point,tournament,0.2,0.4,10,429
one_point,tournament,0.3,0.4,10,379
one_point,tournament,0.4,0.4,10,412
one_point,tournament,0.5,0.4,10,437
one_point,tournament,0.6,0.4,10,463
one_point,tournament,0.7,0.4,10,448
one_point,tournament,0.8,0.4,10,481
one_point,tournament,0.9,0.4,10,466
one_point,tournament,1,0.4,10,495
one_point,tournament,0,0.5,10,359
one_point,tournament,0.1,0.5,10,403
one_point,tournament,0.2,0.5,10,444
one_point,tournament,0.3,0.5,10,483
one_point,tournament,0.4,0.5,10,389
one_point,tournament,0.5,0.5,10,409
one_point,tournament,0.6,0.5,10,472
one_point,tournament,0.7,0.5,10,485
one_point,tournament,0.8,0.5,10,468
one_point,tournament,0.9,0.5,10,563
one_point,tournament,1,0.5,10,461
one_point,tournament,0,0.6,10,363
one_point,tournament,0.1,0.6,10,346
one_point,tournament,0.2,0.6,10,460
one_point,tournament,0.3,0.6,10,484
one_point,tournament,0.4,0.6,10,428
one_point,tournament,0.5,0.6,10,420
one_point,tournament,0.6,0.6,10,415
one_point,tournament,0.7,0.6,10,455
one_point,tournament,0.8,0.6,10,508
one_point,tournament,0.9,0.6,10,426
one_point,tournament,1,0.6,10,499
one_point,tournament,0,0.7,10,361
one_point,tournament,0.1,0.7,10,391
one_point,tournament,0.2,0.7,10,405
one_point,tournament,0.3,0.7,10,369
one_point,tournament,0.4,0.7,10,445
one_point,tournament,0.5,0.7,10,448
one_point,tournament,0.6,0.7,10,440
one_point,tournament,0.7,0.7,10,429
one_point,tournament,0.8,0.7,10,469
one_point,tournament,0.9,0.7,10,519
one_point,tournament,1,0.7,10,501
one_point,tournament,0,0.8,10,451
one_point,tournament,0.1,0.8,10,381
one_point,tournament,0.2,0.8,10,435
one_point,tournament,0.3,0.8,10,394
one_point,tournament,0.4,0.8,10,371
one_point,tournament,0.5,0.8,10,437
one_point,tournament,0.6,0.8,10,452
one_point,tournament,0.7,0.8,10,433
one_point,tournament,0.8,0.8,10,447
one_point,tournament,0.9,0.8,10,468
one_point,tournament,1,0.8,10,488
one_point,tournament,0,0.9,10,368
one_point,tournament,0.1,0.9,10,397
one_point,tournament,0.2,0.9,10,435
one_point,tournament,0.3,0.9,10,432
one_point,tournament,0.4,0.9,10,502
one_point,tournament,0.5,0.9,10,443
one_point,tournament,0.6,0.9,10,458
one_point,tournament,0.7,0.9,10,460
one_point,tournament,0.8,0.9,10,432
one_point,tournament,0.9,0.9,10,502
one_point,tournament,1,0.9,10,413
one_point,tournament,0,1,10,339
one_point,tournament,0.1,1,10,388
one_point,tournament,0.2,1,10,361
one_point,tournament,0.3,1,10,405
one_point,tournament,0.4,1,10,428
one_point,tournament,0.5,1,10,375
one_point,tournament,0.6,1,10,462
one_point,tournament,0.7,1,10,472
one_point,tournament,0.8,1,10,479
one_point,tournament,0.9,1,10,499
one_point,tournament,1,1,10,528
one_point,tournament,0,0,15,437
one_point,tournament,0.1,0,15,408
one_point,tournament,0.2,0,15,423
one_point,tournament,0.3,0,15,480
one_point,tournament,0.4,0,15,462
one_point,tournament,0.5,0,15,465
one_point,tournament,0.6,0,15,425
one_point,tournament,0.7,0,15,430
one_point,tournament,0.8,0,15,467
one_point,tournament,0.9,0,15,478
one_point,tournament,1,0,15,429
one_point,tournament,0,0.1,15,340
one_point,tournament,0.1,0.1,15,419
